,Close_Time,Open,Close,High,Low,Volume
0,1641030299999,3722.52000000,3713.95000000,3726.91000000,3709.38000000,1052.77960000
1,1641031199999,3713.95000000,3718.67000000,3720.15000000,3710.87000000,811.70210000
2,1641032099999,3718.67000000,3719.64000000,3731.88000000,3717.97000000,1415.87970000
3,1641032999999,3719.64000000,3691.22000000,3719.90000000,3688.18000000,3344.14210000
4,1641033899999,3691.22000000,3698.61000000,3699.97000000,3673.46000000,3851.59170000
5,1641034799999,3698.61000000,3691.39000000,3707.86000000,3690.30000000,1800.86020000
6,1641035699999,3691.39000000,3702.00000000,3703.39000000,3691.02000000,1195.67520000
7,1641036599999,3702.00000000,3707.32000000,3712.19000000,3701.06000000,1141.71030000
8,1641037499999,3707.32000000,3706.16000000,3709.92000000,3697.12000000,1288.39390000
9,1641038399999,3706.08000000,3693.37000000,3709.00000000,3692.72000000,1160.43790000
10,1641039299999,3693.38000000,3708.13000000,3708.57000000,3693.37000000,1495.58200000
11,1641040199999,3708.13000000,3700.76000000,3708.87000000,3698.24000000,1328.79440000
12,1641041099999,3700.75000000,3705.67000000,3715.37000000,3700.75000000,2104.45540000
13,1641041999999,3705.67000000,3716.28000000,3718.24000000,3705.66000000,1666.72120000
14,1641042899999,3716.28000000,3720.00000000,3724.93000000,3710.17000000,2338.84110000
15,1641043799999,3720.00000000,3714.34000000,3721.50000000,3709.42000000,1341.80250000
16,1641044699999,3714.33000000,3719.76000000,3721.00000000,3708.15000000,1044.33410000
17,1641045599999,3719.77000000,3710.03000000,3719.77000000,3706.32000000,990.61950000
18,1641046499999,3710.04000000,3706.97000000,3712.46000000,3704.78000000,778.07220000
19,1641047399999,3706.97000000,3710.15000000,3713.68000000,3706.00000000,1853.93330000
20,1641048299999,3710.27000000,3701.55000000,3711.84000000,3691.88000000,1818.58260000
21,1641049199999,3701.55000000,3697.61000000,3705.77000000,3697.04000000,914.85930000
22,1641050099999,3697.04000000,3706.28000000,3709.75000000,3693.22000000,1234.07430000
23,1641050999999,3706.28000000,3713.41000000,3713.71000000,3703.96000000,907.32200000
24,1641051899999,3713.17000000,3734.67000000,3745.36000000,3712.09000000,5045.67430000
25,1641052799999,3734.67000000,3725.30000000,3742.30000000,3718.46000000,2193.13820000
26,1641053699999,3725.29000000,3736.94000000,3743.16000000,3718.71000000,1348.39490000
27,1641054599999,3736.95000000,3744.30000000,3749.98000000,3730.49000000,1684.63170000
28,1641055499999,3744.30000000,3739.64000000,3747.35000000,3735.35000000,1323.26780000
29,1641056399999,3739.87000000,3727.62000000,3744.57000000,3725.16000000,2428.85270000
30,1641057299999,3727.61000000,3728.93000000,3736.02000000,3727.24000000,1357.50970000
31,1641058199999,3728.93000000,3735.31000000,3737.01000000,3727.84000000,1010.01140000
32,1641059099999,3735.30000000,3757.82000000,3763.65000000,3735.00000000,4122.07940000
33,1641059999999,3757.82000000,3760.77000000,3764.98000000,3750.00000000,2437.25140000
34,1641060899999,3760.76000000,3754.71000000,3766.00000000,3751.20000000,1418.66710000
35,1641061799999,3754.72000000,3749.05000000,3757.97000000,3745.00000000,1368.21110000
36,1641062699999,3749.06000000,3744.62000000,3752.30000000,3740.00000000,2311.69940000
37,1641063599999,3744.61000000,3752.58000000,3756.99000000,3741.55000000,1566.78050000
38,1641064499999,3752.58000000,3749.35000000,3757.86000000,3746.18000000,1237.69150000
39,1641065399999,3749.36000000,3744.38000000,3749.84000000,3736.31000000,1301.95660000
40,1641066299999,3744.37000000,3738.86000000,3746.18000000,3736.00000000,1522.62680000
41,1641067199999,3738.87000000,3747.61000000,3749.36000000,3736.59000000,810.78790000
42,1641068099999,3747.60000000,3746.55000000,3749.83000000,3742.45000000,1009.30660000
43,1641068999999,3746.55000000,3752.00000000,3752.63000000,3740.35000000,1188.26020000
44,1641069899999,3752.00000000,3760.64000000,3776.45000000,3750.87000000,3037.95880000
45,1641070799999,3760.64000000,3761.02000000,3766.55000000,3755.14000000,1252.23190000
46,1641071699999,3761.02000000,3773.19000000,3774.88000000,3760.28000000,1782.81650000
47,1641072599999,3773.18000000,3762.48000000,3776.00000000,3760.21000000,1871.53270000
48,1641073499999,3762.48000000,3764.35000000,3767.39000000,3758.53000000,1928.31360000
49,1641074399999,3764.35000000,3748.65000000,3765.70000000,3745.91000000,1616.28920000
50,1641075299999,3748.66000000,3742.51000000,3750.63000000,3740.00000000,1590.98500000
51,1641076199999,3742.51000000,3754.56000000,3755.96000000,3741.95000000,686.74300000
52,1641077099999,3754.57000000,3759.77000000,3763.17000000,3754.55000000,466.47860000
53,1641077999999,3759.77000000,3757.89000000,3764.15000000,3752.33000000,885.88020000
54,1641078899999,3757.89000000,3747.08000000,3758.81000000,3745.00000000,1135.17730000
55,1641079799999,3747.08000000,3755.46000000,3758.64000000,3746.60000000,1036.33050000
56,1641080699999,3755.08000000,3758.59000000,3763.35000000,3750.12000000,1018.89720000
57,1641081599999,3758.59000000,3765.54000000,3774.90000000,3758.22000000,1757.56490000
58,1641082499999,3765.54000000,3758.18000000,3770.00000000,3753.91000000,1411.29850000
59,1641083399999,3758.17000000,3763.18000000,3764.56000000,3750.20000000,1410.12500000
60,1641084299999,3763.17000000,3763.20000000,3771.00000000,3760.68000000,2048.69900000
61,1641085199999,3763.19000000,3761.58000000,3767.00000000,3758.67000000,1420.53860000
62,1641086099999,3761.57000000,3751.00000000,3763.66000000,3750.23000000,1114.67460000
63,1641086999999,3750.42000000,3753.84000000,3758.00000000,3749.15000000,1164.96210000
64,1641087899999,3753.84000000,3747.99000000,3756.80000000,3742.34000000,764.08910000
65,1641088799999,3747.99000000,3747.00000000,3750.13000000,3742.35000000,1075.16730000
66,1641089699999,3747.00000000,3750.44000000,3752.15000000,3743.86000000,1071.09380000
67,1641090599999,3750.45000000,3743.29000000,3753.36000000,3741.80000000,995.81760000
68,1641091499999,3743.29000000,3747.70000000,3753.25000000,3742.01000000,1005.86800000
69,1641092399999,3747.71000000,3746.50000000,3749.31000000,3745.19000000,916.32720000
70,1641093299999,3746.50000000,3746.27000000,3753.77000000,3745.26000000,1078.84180000
71,1641094199999,3746.27000000,3753.73000000,3754.00000000,3743.00000000,717.46710000
72,1641095099999,3753.48000000,3752.64000000,3760.87000000,3751.67000000,1061.62800000
73,1641095999999,3752.91000000,3758.55000000,3759.10000000,3746.23000000,1126.93340000
74,1641096899999,3758.13000000,3757.78000000,3761.92000000,3756.50000000,1181.74070000
75,1641097799999,3757.78000000,3751.51000000,3757.80000000,3749.08000000,744.13980000
76,1641098699999,3751.51000000,3743.12000000,3757.66000000,3741.71000000,1534.89830000
77,1641099599999,3743.11000000,3724.34000000,3743.44000000,3717.30000000,3941.25100000
78,1641100499999,3724.34000000,3725.20000000,3733.30000000,3720.17000000,1162.98260000
79,1641101399999,3725.49000000,3730.12000000,3733.29000000,3723.09000000,1126.58340000
80,1641102299999,3730.35000000,3734.68000000,3740.60000000,3729.52000000,1199.76870000
81,1641103199999,3734.67000000,3744.69000000,3745.74000000,3729.18000000,1136.01180000
82,1641104099999,3744.69000000,3742.03000000,3746.89000000,3740.65000000,1167.55890000
83,1641104999999,3742.03000000,3742.19000000,3749.77000000,3741.84000000,655.53690000
84,1641105899999,3742.20000000,3745.31000000,3749.97000000,3740.13000000,1146.74620000
85,1641106799999,3745.30000000,3738.52000000,3749.98000000,3737.55000000,805.82570000
86,1641107699999,3738.52000000,3737.39000000,3741.84000000,3734.20000000,949.83290000
87,1641108599999,3737.40000000,3742.27000000,3744.60000000,3737.20000000,548.53230000
88,1641109499999,3742.27000000,3744.07000000,3751.93000000,3741.89000000,1159.71190000
89,1641110399999,3744.07000000,3747.22000000,3747.74000000,3737.80000000,804.74690000
90,1641111299999,3747.22000000,3735.85000000,3748.64000000,3732.39000000,1441.37870000
91,1641112199999,3735.83000000,3741.05000000,3745.97000000,3735.47000000,1094.70040000
92,1641113099999,3741.05000000,3741.22000000,3743.51000000,3735.67000000,748.04880000
93,1641113999999,3741.23000000,3744.00000000,3746.00000000,3740.18000000,927.85130000
94,1641114899999,3744.00000000,3743.73000000,3745.72000000,3738.17000000,916.30160000
95,1641115799999,3743.73000000,3756.12000000,3770.00000000,3741.03000000,2601.32660000
96,1641116699999,3756.12000000,3760.96000000,3762.99000000,3756.10000000,945.26410000
97,1641117599999,3760.96000000,3753.48000000,3761.13000000,3751.59000000,1221.96050000
98,1641118499999,3753.49000000,3758.80000000,3758.80000000,3751.16000000,782.24320000
99,1641119399999,3758.79000000,3749.26000000,3758.80000000,3748.71000000,965.02440000
100,1641120299999,3749.27000000,3746.29000000,3752.39000000,3742.93000000,905.61880000
101,1641121199999,3746.28000000,3743.16000000,3746.75000000,3740.00000000,783.53540000
102,1641122099999,3743.17000000,3747.70000000,3751.12000000,3741.02000000,977.53640000
103,1641122999999,3747.71000000,3750.27000000,3753.79000000,3746.19000000,666.90700000
104,1641123899999,3750.27000000,3746.28000000,3756.98000000,3746.11000000,913.40150000
105,1641124799999,3746.28000000,3744.01000000,3746.77000000,3741.76000000,985.74330000
106,1641125699999,3744.06000000,3735.83000000,3744.88000000,3730.33000000,1599.38730000
107,1641126599999,3735.83000000,3742.42000000,3742.66000000,3732.55000000,700.35790000
108,1641127499999,3742.42000000,3750.60000000,3759.03000000,3740.39000000,1693.54360000
109,1641128399999,3750.67000000,3753.95000000,3759.83000000,3750.67000000,1418.04840000
110,1641129299999,3753.95000000,3746.72000000,3756.94000000,3746.07000000,1006.24050000
111,1641130199999,3746.41000000,3754.43000000,3754.44000000,3742.23000000,1038.30910000
112,1641131099999,3754.44000000,3749.03000000,3754.44000000,3746.08000000,1062.47310000
113,1641131999999,3749.03000000,3745.28000000,3749.68000000,3739.86000000,1481.95320000
114,1641132899999,3745.29000000,3752.65000000,3753.30000000,3743.19000000,875.28500000
115,1641133799999,3752.64000000,3746.29000000,3757.43000000,3743.00000000,1711.49470000
116,1641134699999,3746.28000000,3753.12000000,3756.00000000,3745.94000000,1197.04480000
117,1641135599999,3753.12000000,3752.59000000,3757.06000000,3750.40000000,1215.01780000
118,1641136499999,3752.60000000,3767.99000000,3768.44000000,3751.79000000,2282.66900000
119,1641137399999,3768.00000000,3762.59000000,3769.98000000,3761.76000000,1656.27590000
120,1641138299999,3762.59000000,3769.77000000,3771.29000000,3758.41000000,1600.48130000
121,1641139199999,3769.77000000,3778.17000000,3790.38000000,3769.77000000,4289.56820000
122,1641140099999,3778.17000000,3791.14000000,3795.00000000,3778.08000000,3256.39120000
123,1641140999999,3791.15000000,3785.19000000,3793.97000000,3783.79000000,1722.90940000
124,1641141899999,3785.19000000,3796.45000000,3799.27000000,3785.10000000,3215.06380000
125,1641142799999,3796.45000000,3838.62000000,3849.92000000,3796.42000000,11293.68330000
126,1641143699999,3838.63000000,3821.19000000,3857.44000000,3818.32000000,8644.08110000
127,1641144599999,3821.20000000,3823.40000000,3826.53000000,3811.10000000,2801.45600000
128,1641145499999,3823.40000000,3830.54000000,3831.57000000,3816.60000000,2268.08690000
129,1641146399999,3830.54000000,3823.82000000,3833.33000000,3816.34000000,2434.95690000
130,1641147299999,3823.82000000,3815.78000000,3825.00000000,3815.48000000,1909.87050000
131,1641148199999,3815.78000000,3793.87000000,3818.65000000,3783.47000000,3277.96720000
132,1641149099999,3793.86000000,3785.35000000,3794.39000000,3771.91000000,4298.08490000
133,1641149999999,3785.36000000,3795.06000000,3798.99000000,3782.88000000,2707.44800000
134,1641150899999,3795.06000000,3796.72000000,3806.30000000,3789.63000000,2339.90700000
135,1641151799999,3796.72000000,3790.10000000,3801.37000000,3787.52000000,995.88740000
136,1641152699999,3790.10000000,3792.12000000,3797.04000000,3784.20000000,2161.40330000
