,Close_Time,Open,Close,High,Low,Volume,bb_u,bb_l,rsi,slowk,slowd,position,entry_p,stop_loss,size,exit_p,amt
0,2022-02-26 07:59,2596.26,2768.49,2834.97,2571.72,679394.18,3267.38,2387.08,47.3,52.28,31.83,Buy,2596.2,2300.0,1.0,,2596.2
1,2022-03-16 07:59,2589.42,2617.73,2669.0,2507.0,461202.3,3078.55,2361.71,46.65,28.84,21.58,Buy,2589.41,2498.67,1.0,,2589.41
2,2022-03-28 07:59,3145.01,3295.65,3299.37,3126.02,335467.41,3228.27,2374.97,70.2,99.54,93.21,Sell,,,-2.0,3295.65,-6591.3
3,2022-04-20 07:59,3055.56,3101.77,3131.0,3030.34,359375.0,3541.21,2841.45,49.61,41.69,24.54,Buy,3055.56,2883.22,1.0,,3055.56
4,2022-04-27 07:59,3006.63,2809.67,3039.54,2767.0,531184.35,3551.02,2774.52,37.61,10.33,25.5,Stop,,,-1.0,2883.22,-2883.22
5,2022-07-15 07:59,1115.01,1193.42,1214.65,1072.11,1605101.93,1269.28,1003.38,48.66,69.26,41.95,Buy,1115.0,1006.32,1.0,,1115.0
6,2022-07-19 07:59,1338.65,1581.04,1597.47,1336.07,2029918.77,1389.5,957.74,68.84,97.22,86.97,Sell,,,-1.0,1581.04,-1581.04
7,2022-10-05 07:59,1323.1,1361.49,1369.55,1318.66,476207.67,1775.61,1123.65,45.95,74.9,53.17,Buy,1323.09,1263.04,1.0,,1323.09
8,2022-10-18 07:59,1305.96,1331.4,1338.57,1295.64,459848.49,1373.07,1261.44,48.16,72.89,58.81,Buy,1305.95,1274.67,1.0,,1305.95
9,2022-10-23 07:59,1299.76,1313.61,1320.2,1294.32,221776.7,1360.45,1266.47,47.25,80.73,68.77,Buy,1299.75,1252.65,1.0,,1299.75
10,2022-10-27 07:59,1459.74,1566.1,1594.99,1457.44,1236044.7,1442.58,1214.91,72.11,92.87,85.99,Sell,,,-3.0,1566.1,-4698.3
11,2022-12-01 07:59,1216.49,1294.46,1309.77,1212.5,815679.27,1624.21,971.72,53.44,93.48,69.83,Buy,1216.49,1158.27,1.0,,1216.49
12,2022-12-22 07:59,1216.95,1213.78,1223.39,1203.02,245723.84,1330.43,1138.73,46.44,31.29,24.23,Buy,1216.94,1163.12,1.0,,1216.94
13,2022-12-24 07:59,1217.72,1219.99,1231.99,1210.0,278604.29,1325.89,1150.85,47.3,34.36,32.96,Buy,1217.71,1182.54,1.0,,1217.71
14,2023-01-11 07:59,1320.4,1335.62,1347.69,1316.8,459660.23,1325.78,1142.56,69.11,92.76,90.9,Sell,,,-3.0,1335.62,-4006.86
