,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
404,1609463048000,1h,Any,5,5,Close,76435.93,4930.04,53035.39,-5812.34,88,188319.73,405.88%
328,1609463048000,15m,Any,3,7,Close,67965.57,19888.76,13842.01,-2835.62,61,149490.47,454.65%
322,1609463048000,15m,Any,2,7,Close,63576.73,19890.95,13842.01,-1090.87,44,66877.97,950.64%
406,1609463048000,1h,Any,5,7,Close,61081.47,4937.71,37319.42,-5812.34,123,270036.19,226.20%
262,1640999048000,1h,Any,5,7,Close,61062.04,2511.77,36756.01,-2882.36,123,270036.19,226.13%
316,1609463048000,15m,Any,1,7,Close,59096.47,19896.77,7495.05,-355.11,34,52095.66,1134.38%
190,1640999048000,15m,Any,5,7,Close,58844.25,9679.91,20722.66,-1991.16,115,295387.38,199.21%
400,1609463048000,1h,Any,3,7,Close,58448.25,4939.03,32841.8,-2849.98,71,170207.2,343.39%
260,1640999048000,1h,Any,5,5,Close,57650.53,2513.48,28047.61,-2924.17,88,188319.73,306.13%
430,1609463048000,1h,Down,5,7,Close,52246.26,2614.79,28170.37,-2965.32,69,150659.05,346.78%
314,1609463048000,15m,Any,1,5,Close,51455.6,19900.59,4194.55,-355.11,34,52095.66,987.71%
334,1609463048000,15m,Any,5,7,Close,50079.95,19897.7,20722.66,-5003.37,115,295387.38,169.54%
320,1609463048000,15m,Any,2,5,Close,46383.91,19899.55,10668.05,-1090.87,44,66877.97,693.56%
256,1640999048000,1h,Any,3,7,Close,41978.59,2521.31,20884.18,-1311.36,71,170207.2,246.63%
312,1609463048000,15m,Any,1,3,Close,41422.84,19916.33,2609.6,-355.11,34,52095.66,795.13%
398,1609463048000,1h,Any,3,5,Close,41219.43,4947.64,33749.43,-2849.98,50,113352.86,363.64%
326,1609463048000,15m,Any,3,5,Close,40538.36,19902.47,10668.05,-2835.62,55,60376.55,671.43%
324,1609463048000,15m,Any,3,3,Close,39624.26,19917.23,8078.49,-2835.62,50,59679.21,663.95%
386,1609463048000,1h,Any,1,5,Close,39456.09,4948.52,8479.96,-1006.57,27,30864.49,1278.37%
286,1640999048000,1h,Down,5,7,Close,38410.95,1342.22,19794.56,-1536.3,69,150659.05,254.95%
318,1609463048000,15m,Any,2,3,Close,36435.2,19918.83,8078.49,-1090.87,44,66877.97,544.80%
258,1640999048000,1h,Any,5,3,Close,35689.81,2524.45,17478.96,-2882.36,78,162715.31,219.34%
388,1609463048000,1h,Any,1,7,Close,35321.66,4950.59,4207.38,-746.77,29,77378.66,456.48%
304,1609463048000,15m,Up,3,7,Close,35285.89,9263.89,9212.15,-889.35,44,50921.96,692.94%
424,1609463048000,1h,Down,3,7,Close,34612.74,2623.6,16855.85,-1510.81,40,95182.83,363.64%
428,1609463048000,1h,Down,5,5,Close,33525.48,2624.14,14944.38,-2965.32,49,104978.85,319.35%
184,1640999048000,15m,Any,3,7,Close,33239.27,9692.7,11356.01,-914.88,61,149490.47,222.35%
191,1640999048000,15m,Any,5,7,High,32946.97,9692.85,20722.66,-1991.16,115,295387.38,111.54%
352,1609463048000,15m,Down,3,7,Close,32787.47,10624.82,7602.52,-1482.12,37,91351.61,358.92%
310,1609463048000,15m,Up,5,7,Close,30437.94,9266.31,9212.15,-1795.8,56,144619.92,210.47%
298,1609463048000,15m,Up,2,7,Close,30255.67,9266.41,7997.3,-345.77,22,33492.95,903.34%
284,1640999048000,1h,Down,5,5,Close,29882.15,1346.49,14944.38,-1692.19,49,104978.85,284.65%
346,1609463048000,15m,Down,2,7,Close,29466.2,10626.48,7602.52,-702.07,30,40193.15,733.12%
384,1609463048000,1h,Any,1,3,Close,29376.51,4953.56,4180.69,-1006.57,21,56854.34,516.70%
402,1609463048000,1h,Any,5,3,Close,29004.37,4953.74,17478.96,-3835.17,78,162715.31,178.25%
166,1640999048000,15m,Up,5,7,Close,28932.05,4507.38,9134.02,-1176.52,56,144619.92,200.06%
394,1609463048000,1h,Any,2,7,Close,28061.27,4954.22,13509.91,-1585.63,49,124921.11,224.63%
340,1609463048000,15m,Down,1,7,Close,27663.24,10629.17,4131.36,-331.66,19,39119.17,707.15%
244,1640999048000,1h,Any,1,7,Close,26435.91,2529.08,3655.38,-257.02,29,77378.66,341.64%
214,1640999048000,15m,Down,5,7,Close,25779.37,5174.59,9924.77,-1196.38,59,150839.71,170.91%
188,1640999048000,15m,Any,5,5,Close,25353.11,9696.64,13394.93,-2095.49,95,111056.36,228.29%
254,1640999048000,1h,Any,3,5,Close,24989.9,2529.8,8195.8,-1311.36,50,113352.86,220.46%
431,1609463048000,1h,Down,5,7,High,24982.86,2628.41,28170.37,-2205.68,49,113182.15,220.73%
