,symbol,interval,kd_dir,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
91,ftmusdt,1h,Up,5,12,Close,473.56,17.85,401.64,-69.92,7,1400.0,338.26%,36.84%,26.54,-0.38
75,ftmusdt,1h,Any,5,12,Close,412.89,19.22,401.64,-91.2,7,1400.0,294.92%,35.00%,21.49,-0.56
222,woousdt,1h,Up,7,9,Close,348.34,13.18,299.39,-177.18,7,1400.0,248.81%,42.86%,26.43,-0.09
307,dydxusdt,15m,Up,1,12,Close,306.61,94.6,172.28,-27.76,6,1200.0,255.51%,14.95%,3.24,-0.36
206,woousdt,1h,Any,7,9,Close,302.67,14.16,299.39,-177.18,7,1400.0,216.19%,41.38%,21.38,-0.1
90,ftmusdt,1h,Up,5,9,Close,266.94,17.74,321.84,-69.92,7,1400.0,190.67%,39.47%,15.05,-0.62
87,ftmusdt,1h,Up,3,12,Close,249.97,17.73,401.64,-49.44,5,1000.0,249.97%,22.73%,14.1,-0.69
221,woousdt,1h,Up,7,5,Close,249.66,13.53,110.05,-124.34,4,800.0,312.07%,66.67%,18.45,-0.13
306,dydxusdt,15m,Up,1,9,Close,245.75,94.57,143.5,-27.76,6,1200.0,204.79%,15.96%,2.6,-0.31
291,dydxusdt,15m,Any,1,12,Close,238.05,100.17,172.28,-27.76,6,1200.0,198.37%,14.50%,2.38,-0.49
95,ftmusdt,1h,Up,7,12,Close,236.25,17.73,401.64,-105.02,7,1400.0,168.75%,38.89%,13.33,-1.74
71,ftmusdt,1h,Any,3,12,Close,205.28,19.11,401.64,-63.82,5,1000.0,205.28%,21.28%,10.74,-0.94
74,ftmusdt,1h,Any,5,9,Close,200.9,19.11,321.84,-91.2,7,1400.0,143.50%,37.50%,10.51,-1.07
205,woousdt,1h,Any,7,5,Close,200.23,14.51,110.05,-124.34,4,800.0,250.29%,65.00%,13.8,-0.16
217,woousdt,1h,Up,5,5,Close,199.83,13.51,110.05,-83.05,4,800.0,249.79%,57.14%,14.8,-0.52
218,woousdt,1h,Up,5,9,Close,186.01,13.1,191.71,-102.45,7,1400.0,132.86%,36.36%,14.2,-0.66
290,dydxusdt,15m,Any,1,9,Close,181.56,100.14,143.5,-27.76,6,1200.0,151.30%,15.50%,1.81,-0.46
298,dydxusdt,15m,Any,5,9,Close,172.17,100.14,314.38,-74.23,10,2000.0,86.09%,31.63%,1.72,-0.45
314,dydxusdt,15m,Up,5,9,Close,165.25,94.53,314.38,-69.77,10,2000.0,82.62%,31.94%,1.75,-0.61
145,sandusdt,1h,Up,1,5,Close,158.02,13.89,48.6,-19.0,4,800.0,197.52%,32.73%,11.38,0.09
147,sandusdt,1h,Up,1,12,Close,155.26,13.68,67.39,-19.0,6,1200.0,129.39%,19.23%,11.35,0.34
201,woousdt,1h,Any,5,5,Close,155.09,14.48,110.05,-83.05,4,800.0,193.86%,55.81%,10.71,-0.68
223,woousdt,1h,Up,7,12,Close,143.57,13.08,455.5,-177.18,7,1400.0,102.55%,25.00%,10.98,-0.22
129,sandusdt,1h,Any,1,5,Close,134.86,14.67,48.6,-19.0,4,800.0,168.58%,32.14%,9.19,0.05
149,sandusdt,1h,Up,3,5,Close,133.68,13.87,48.6,-41.84,4,800.0,167.10%,50.00%,9.64,0.09
131,sandusdt,1h,Any,1,12,Close,132.11,14.47,67.39,-19.0,6,1200.0,110.09%,18.87%,9.13,0.35
308,dydxusdt,15m,Up,3,3,Close,130.64,94.51,68.53,-46.49,6,1200.0,108.87%,55.52%,1.38,-0.47
202,woousdt,1h,Any,5,9,Close,125.45,14.07,191.71,-102.45,7,1400.0,89.61%,35.29%,8.92,-0.98
153,sandusdt,1h,Up,5,5,Close,124.9,13.87,48.6,-59.68,4,800.0,156.13%,55.81%,9.01,0.01
79,ftmusdt,1h,Any,7,12,Close,123.88,19.07,401.64,-138.14,7,1400.0,88.49%,36.84%,6.5,-3.87
296,dydxusdt,15m,Any,5,3,Close,120.03,100.11,68.53,-67.43,7,1400.0,85.73%,67.11%,1.2,-0.95
31,ethusdt,1h,Up,7,12,Close,118.57,18.27,136.53,-47.44,10,2000.0,59.29%,36.11%,6.49,-0.93
292,dydxusdt,15m,Any,3,3,Close,116.51,100.11,68.53,-46.49,7,1400.0,83.22%,55.52%,1.16,-0.5
88,ftmusdt,1h,Up,5,3,Close,112.12,17.86,51.54,-65.4,7,1400.0,80.08%,68.63%,6.28,-0.48
92,ftmusdt,1h,Up,7,3,Close,109.9,17.86,51.54,-72.07,7,1400.0,78.50%,72.00%,6.15,-0.72
312,dydxusdt,15m,Up,5,3,Close,109.09,94.5,68.53,-67.43,6,1200.0,90.91%,66.78%,1.15,-1.08
207,woousdt,1h,Any,7,12,Close,103.19,14.06,455.5,-177.18,7,1400.0,73.71%,24.00%,7.34,-0.3
133,sandusdt,1h,Any,3,5,Close,98.49,14.66,48.6,-41.84,4,800.0,123.11%,48.94%,6.72,0.0
86,ftmusdt,1h,Up,3,9,Close,97.71,17.66,321.84,-49.44,5,1000.0,97.71%,25.00%,5.53,-1.94
144,sandusdt,1h,Up,1,3,Close,91.1,13.85,31.33,-19.0,4,800.0,113.87%,42.11%,6.58,0.03
146,sandusdt,1h,Up,1,9,Close,87.98,13.65,50.55,-19.0,6,1200.0,73.31%,21.15%,6.44,0.42
83,ftmusdt,1h,Up,1,12,Close,82.78,17.65,120.88,-13.35,4,800.0,103.47%,11.94%,4.69,-1.29
137,sandusdt,1h,Any,5,5,Close,80.62,14.65,48.6,-59.68,4,800.0,100.77%,54.55%,5.5,-0.25
260,dydxusdt,1h,Any,3,3,Close,74.72,18.05,67.32,-46.94,6,1200.0,62.26%,54.10%,4.14,-1.12
216,woousdt,1h,Up,5,3,Close,73.56,13.44,50.8,-83.05,4,800.0,91.96%,67.35%,5.47,-0.87
72,ftmusdt,1h,Any,5,3,Close,72.13,19.25,54.77,-65.4,7,1400.0,51.52%,66.04%,3.75,-0.93
220,woousdt,1h,Up,7,3,Close,70.86,13.44,50.8,-124.34,4,800.0,88.58%,76.60%,5.27,-0.44
30,ethusdt,1h,Up,7,9,Close,69.36,18.24,106.04,-47.44,10,2000.0,34.68%,44.74%,3.8,-1.42
128,sandusdt,1h,Any,1,3,Close,67.94,14.64,31.33,-19.0,4,800.0,84.93%,40.68%,4.64,-0.07
209,woousdt,1h,Up,1,5,Close,66.37,13.44,62.75,-15.23,3,600.0,110.62%,21.82%,4.94,-0.72
130,sandusdt,1h,Any,1,9,Close,64.82,14.44,50.55,-19.0,6,1200.0,54.02%,20.75%,4.49,0.45
276,dydxusdt,1h,Up,3,3,Close,54.52,16.84,67.32,-46.94,6,1200.0,45.43%,52.63%,3.24,-1.47
84,ftmusdt,1h,Up,3,3,Close,50.98,17.83,51.54,-42.55,5,1000.0,50.98%,53.57%,2.86,-0.52
70,ftmusdt,1h,Any,3,9,Close,47.65,19.03,321.84,-63.82,5,1000.0,47.65%,23.40%,2.5,-4.47
193,woousdt,1h,Any,1,5,Close,46.55,14.43,62.75,-15.23,3,600.0,77.58%,21.05%,3.23,-1.02
127,ftmusdt,15m,Up,7,12,Close,45.97,84.07,401.1,-75.21,11,2200.0,20.89%,27.39%,0.55,-5.48
67,ftmusdt,1h,Any,1,12,Close,45.45,19.03,120.88,-20.39,4,800.0,56.81%,11.43%,2.39,-2.74
89,ftmusdt,1h,Up,5,5,Close,43.02,17.83,81.37,-69.92,7,1400.0,30.73%,56.82%,2.41,-1.96
200,woousdt,1h,Any,5,3,Close,42.27,14.43,50.8,-83.05,4,800.0,52.84%,66.67%,2.93,-1.51
310,dydxusdt,15m,Up,3,9,Close,40.42,94.47,143.5,-46.49,7,1400.0,28.87%,24.68%,0.43,-1.56
82,ftmusdt,1h,Up,1,9,Close,38.98,17.63,91.22,-13.35,4,800.0,48.73%,13.43%,2.21,-2.5
204,woousdt,1h,Any,7,3,Close,36.89,14.43,50.8,-124.34,4,800.0,46.12%,75.51%,2.56,-0.85
94,ftmusdt,1h,Up,7,9,Close,35.36,17.63,321.84,-105.02,7,1400.0,25.26%,41.67%,2.01,-10.88
76,ftmusdt,1h,Any,7,3,Close,30.04,19.22,54.77,-72.07,7,1400.0,21.45%,69.23%,1.56,-3.26
38,ethusdt,15m,Any,3,9,Close,29.91,101.07,93.71,-27.34,11,2200.0,13.60%,26.14%,0.3,-4.07
299,dydxusdt,15m,Any,5,12,Close,29.12,100.06,368.78,-74.23,11,2200.0,13.24%,24.44%,0.29,-8.18
34,ethusdt,15m,Any,1,9,Close,28.17,101.06,42.84,-11.75,7,1400.0,20.12%,17.22%,0.28,-2.9
81,ftmusdt,1h,Up,1,5,Close,26.75,17.82,61.64,-13.35,4,800.0,33.44%,19.72%,1.5,-2.02
35,ethusdt,15m,Any,1,12,Close,25.21,101.06,56.95,-15.18,7,1400.0,18.01%,14.45%,0.25,-3.66
55,ethusdt,15m,Up,3,12,Close,25.19,93.86,92.43,-27.34,9,1800.0,14.00%,19.09%,0.27,-4.15
39,ethusdt,15m,Any,3,12,Close,24.26,101.06,112.17,-27.34,11,2200.0,11.03%,20.00%,0.24,-4.91
51,ethusdt,15m,Up,1,12,Close,21.55,93.86,56.95,-11.75,6,1200.0,17.96%,14.03%,0.23,-4.82
15,ethusdt,1h,Any,7,12,Close,20.84,20.62,136.53,-61.64,11,2200.0,9.47%,31.58%,1.01,-9.54
33,ethusdt,15m,Any,1,5,Close,20.13,101.06,25.42,-11.75,7,1400.0,14.38%,24.80%,0.2,-1.7
68,ftmusdt,1h,Any,3,3,Close,20.07,19.22,54.77,-42.55,5,1000.0,20.07%,50.85%,1.04,-1.59
