,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
510,1609492611000,1h,Any,5,6,Close,83123.8,4926.7,57823.83,-5812.34,123,270036.19,307.82%
508,1609492611000,1h,Any,5,5,Close,76435.93,4930.04,53035.39,-5812.34,88,188319.73,405.88%
318,1641028611000,1h,Any,5,6,Close,67534.55,2508.54,36756.01,-2882.36,123,270036.19,250.09%
494,1609492611000,1h,Any,3,6,Close,61588.8,4937.46,37032.93,-2849.98,71,170207.2,361.85%
316,1641028611000,1h,Any,5,5,Close,57650.73,2513.48,28047.61,-2924.17,88,188319.73,306.13%
502,1609492611000,1h,Any,4,6,Close,56606.55,4939.95,53826.2,-3031.09,76,103548.76,546.67%
390,1609492611000,15m,Any,2,6,Close,55599.97,19915.57,12715.02,-1090.87,44,66877.97,831.36%
506,1609492611000,1h,Any,5,4,Close,55067.04,4940.72,32834.37,-5812.34,88,188319.73,292.41%
574,1609492611000,1h,Down,5,6,Close,54754.78,2613.53,25954.01,-2965.32,60,134705.56,406.48%
398,1609492611000,15m,Any,3,6,Close,54569.68,19916.09,12715.02,-2835.62,56,136379.91,400.13%
314,1641028611000,1h,Any,5,4,Close,47724.76,2518.44,26255.47,-2924.17,88,188319.73,253.42%
222,1641028611000,15m,Any,5,6,Close,47136.4,9703.4,14247.58,-2095.49,103,119568.94,394.22%
388,1609492611000,15m,Any,2,5,Close,46312.57,19920.21,10668.05,-1090.87,44,66877.97,692.49%
503,1609492611000,1h,Any,4,6,High,44784.45,4945.86,53826.2,-3031.09,74,101646.64,440.59%
214,1641028611000,15m,Any,4,6,Close,44650.75,9704.64,14308.25,-1605.22,96,111085.68,401.95%
310,1641028611000,1h,Any,4,6,Close,42956.38,2520.82,21982.86,-1910.04,76,103548.76,414.84%
382,1641028611000,1h,Down,5,6,Close,42032.14,1340.42,25669.85,-1536.3,60,134705.56,312.03%
386,1609492611000,15m,Any,2,4,Close,41572.85,19922.58,9115.32,-1090.87,44,66877.97,621.62%
302,1641028611000,1h,Any,3,6,Close,41488.32,2521.55,20884.18,-1311.36,71,170207.2,243.75%
492,1609492611000,1h,Any,3,5,Close,41219.43,4947.64,33749.43,-2849.98,50,113352.86,363.64%
406,1609492611000,15m,Any,4,6,Close,40622.75,19923.06,14308.25,-3919.5,96,111085.68,365.69%
396,1609492611000,15m,Any,3,5,Close,40407.01,19923.17,10668.05,-2835.62,55,60376.55,669.25%
392,1609492611000,15m,Any,3,3,Close,39414.13,19923.66,8078.49,-2835.62,50,59679.21,660.43%
566,1609492611000,1h,Down,4,6,Close,39174.47,2621.32,22773.79,-1469.77,41,55671.29,703.67%
500,1609492611000,1h,Any,4,5,Close,38217.69,4949.14,49311.38,-3031.09,53,78025.41,489.81%
511,1609492611000,1h,Any,5,6,High,36748.74,4949.87,57823.83,-4002.2,90,207978.68,176.69%
558,1609492611000,1h,Down,3,6,Close,36692.76,2622.56,15415.21,-1510.81,40,95182.83,385.50%
384,1609492611000,15m,Any,2,3,Close,36255.88,19925.24,8078.49,-1090.87,44,66877.97,542.12%
312,1641028611000,1h,Any,5,3,Close,35689.94,2524.45,17478.96,-2882.36,78,162715.31,219.34%
394,1609492611000,15m,Any,3,4,Close,33957.29,19926.39,9115.32,-2835.62,50,59679.21,569.00%
572,1609492611000,1h,Down,5,5,Close,33525.48,2624.14,14944.38,-2965.32,49,104978.85,319.35%
567,1609492611000,1h,Down,4,6,High,31917.23,2624.95,22773.79,-1469.77,40,95182.83,335.33%
206,1641028611000,15m,Any,3,6,Close,31629.33,9711.15,11356.01,-1062.53,56,136379.91,231.92%
311,1641028611000,1h,Any,4,6,High,31312.53,2526.64,27512.76,-1910.04,74,101646.64,308.05%
319,1641028611000,1h,Any,5,6,High,30199.47,2527.2,20321.53,-2551.22,90,207978.68,145.20%
380,1641028611000,1h,Down,5,5,Close,29882.25,1346.49,14944.38,-1692.19,49,104978.85,284.65%
308,1641028611000,1h,Any,4,5,Close,29404.02,2527.59,14340.46,-2061.57,53,78025.41,376.85%
504,1609492611000,1h,Any,5,3,Close,29004.37,4953.74,17478.96,-3835.17,78,162715.31,178.25%
490,1609492611000,1h,Any,3,4,Close,28800.71,4953.85,21714.18,-2849.98,50,113352.86,254.08%
374,1641028611000,1h,Down,4,6,Close,28789.72,1347.03,11885.13,-948.29,41,55671.29,517.14%
454,1609492611000,15m,Down,2,6,Close,28740.35,10636.43,6878.74,-702.07,30,40193.15,715.06%
462,1609492611000,15m,Down,3,6,Close,28632.36,10636.48,6878.74,-1482.12,32,42840.87,668.34%
570,1609492611000,1h,Down,5,4,Close,27010.72,2627.4,11188.17,-2965.32,41,82233.82,328.46%
486,1609492611000,1h,Any,2,6,Close,26933.89,4954.78,9574.46,-1585.63,49,124921.11,215.61%
575,1609492611000,1h,Down,5,6,High,26738.57,2627.53,25954.01,-2205.68,49,113182.15,236.24%
