,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
130,1672535048000,15m,Up,2,4,Close,55671.31,19894.9,12715.02,-1090.87,44,66877.97,832.43%
136,1672535048000,15m,Up,2,4,High,54701.03,19895.39,12715.02,-2835.62,56,136379.91,401.09%
88,1672535048000,15m,Up,2,5,Close,47297.1,9685.68,14247.58,-2095.49,103,119568.94,395.56%
128,1672535048000,15m,Up,2,5,High,46383.91,19899.55,10668.05,-1090.87,44,66877.97,693.56%
126,1672535048000,15m,Up,2,6,Close,41644.19,19901.91,9115.32,-1090.87,44,66877.97,622.69%
134,1672535048000,15m,Up,2,6,High,40538.36,19902.47,10668.05,-2835.62,55,60376.55,671.43%
132,1672535048000,15m,Up,3,4,Close,34088.65,19905.69,9115.32,-2835.62,50,59679.21,571.20%
82,1672535048000,15m,Up,3,4,High,31676.73,9693.48,11356.01,-1062.53,56,136379.91,232.27%
148,1672535048000,15m,Up,3,5,Close,28840.98,10626.79,6878.74,-702.07,30,40193.15,717.56%
154,1672535048000,15m,Up,3,5,High,28756.67,10626.83,6878.74,-1482.12,32,42840.87,671.24%
118,1672535048000,15m,Up,3,6,Close,26276.78,9268.39,5389.5,-889.35,44,50921.96,516.02%
86,1672535048000,15m,Up,3,6,High,25353.11,9696.64,13394.93,-2095.49,95,111056.36,228.29%
80,1672535048000,15m,Up,5,4,Close,24024.98,9697.31,6111.0,-1062.53,55,60376.55,397.92%
70,1672535048000,15m,Up,5,4,High,23287.2,4510.2,7899.66,-1176.52,50,57528.53,404.79%
84,1672535048000,15m,Up,5,5,Close,23049.41,9697.8,9604.32,-2095.49,95,111056.36,207.55%
144,1672535048000,15m,Up,5,5,High,23033.45,10629.69,3168.61,-702.07,23,89238.13,258.11%
112,1672535048000,15m,Up,5,6,Close,22848.55,9270.11,5380.7,-345.77,22,33492.95,682.19%
146,1672535048000,15m,Up,5,6,High,22380.47,10630.02,6154.95,-702.07,25,96693.99,231.46%
89,1672535048000,15m,Any,2,4,Close,22318.36,9698.16,14247.58,-2095.49,103,119568.94,186.66%
110,1672535048000,15m,Any,2,4,High,21922.51,9270.57,4884.83,-345.77,22,33492.95,654.54%
116,1672535048000,15m,Any,2,5,Close,21235.93,9270.91,4884.83,-889.35,35,39988.54,531.05%
114,1672535048000,15m,Any,2,5,High,21066.95,9271.0,3558.93,-910.35,25,28129.25,748.93%
76,1672535048000,15m,Any,2,6,Close,20964.37,9698.84,4470.04,-476.55,44,66877.97,313.47%
106,1672535048000,15m,Any,2,6,High,19837.46,5177.56,5847.76,-1279.25,57,66219.65,299.57%
142,1672535048000,15m,Any,3,4,Close,19641.41,19912.91,14247.58,-5003.37,103,119568.94,164.27%
150,1672535048000,15m,Any,3,4,High,19447.49,10631.48,3171.93,-1482.12,23,89238.13,217.93%
78,1672535048000,15m,Any,3,5,Close,19122.77,9699.76,5104.47,-1062.53,50,59679.21,320.43%
74,1672535048000,15m,Any,3,5,High,18971.45,9699.83,3761.27,-476.55,44,66877.97,283.67%
