,start_time,interval,tp_atr,ema,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
128,1609463048000,1h,12,38,Close,7605.25,442.01,2744.16,-159.73,4,12770.87,595.52%
136,1609463048000,1h,18,38,Close,7029.47,441.72,2009.42,-159.73,6,18895.33,372.02%
112,1609463048000,15m,18,38,Close,6772.26,1830.37,1119.95,-132.73,7,20745.32,326.45%
138,1609463048000,1h,18,50,Close,6224.43,376.03,3632.81,-159.73,5,15133.4,411.30%
104,1609463048000,15m,12,38,Close,5135.68,1829.55,1084.96,-132.73,5,14496.96,354.26%
114,1609463048000,15m,18,50,Close,5119.48,1621.97,852.29,-132.73,5,18830.3,271.87%
120,1609463048000,1h,6,38,Close,4668.51,440.54,1242.99,-159.73,3,10255.79,455.21%
116,1609463048000,15m,18,100,Close,4302.11,1233.74,1052.27,-138.39,4,4874.24,882.62%
118,1609463048000,15m,18,200,Close,3960.74,816.17,1423.27,-132.73,3,9614.1,411.97%
106,1609463048000,15m,12,50,Close,3941.36,1621.38,834.48,-132.73,4,15335.74,257.01%
130,1609463048000,1h,12,50,Close,3871.74,374.85,1754.04,-159.73,4,12544.79,308.63%
122,1609463048000,1h,6,50,Close,3842.23,374.84,1039.91,-159.73,4,12544.79,306.28%
110,1609463048000,15m,12,200,Close,3267.05,815.82,1012.88,-132.73,3,9614.1,339.82%
108,1609463048000,15m,12,100,Close,3059.21,1234.85,724.8,-138.39,4,4874.24,627.63%
64,1640999048000,15m,18,38,Close,2773.38,1026.12,1119.95,-88.37,7,20745.32,133.69%
56,1640999048000,15m,12,38,Close,2771.54,1026.12,1084.96,-88.37,5,14496.96,191.18%
142,1609463048000,1h,18,200,Close,2512.43,226.18,2810.08,-140.08,3,9990.99,251.47%
58,1640999048000,15m,12,50,Close,2484.26,900.06,834.48,-88.37,4,11631.06,213.59%
140,1609463048000,1h,18,100,Close,2357.44,253.91,1067.1,-159.73,4,6874.4,342.93%
98,1609463048000,15m,6,50,Close,2236.28,1620.53,485.29,-132.73,4,11631.06,192.27%
66,1640999048000,15m,18,50,Close,2111.64,899.87,852.29,-88.37,5,14765.76,143.01%
100,1609463048000,15m,6,100,Close,1890.83,1234.26,426.51,-138.39,3,3701.41,510.84%
96,1609463048000,15m,6,38,Close,1883.7,1827.93,648.48,-132.73,5,14496.96,129.94%
68,1640999048000,15m,18,100,Close,1777.56,664.46,511.4,-89.06,4,4874.24,364.68%
60,1640999048000,15m,12,100,Close,1762.81,666.18,450.29,-89.06,4,4874.24,361.66%
129,1609463048000,1h,12,38,Low,1621.55,439.01,1905.78,-195.05,4,17725.08,91.48%
132,1609463048000,1h,12,100,Close,1470.54,253.46,979.8,-159.73,3,12937.82,113.66%
141,1609463048000,1h,18,100,Low,1450.48,239.63,727.52,-195.05,4,6874.4,211.00%
113,1609463048000,15m,18,38,Low,1406.74,1827.69,754.21,-132.73,4,14944.59,94.13%
134,1609463048000,1h,12,200,Close,1376.53,225.62,1031.23,-140.08,2,6346.76,216.89%
102,1609463048000,15m,6,200,Close,1354.85,814.87,284.79,-132.73,3,14201.14,95.40%
70,1640999048000,15m,18,200,Close,1345.4,405.15,866.94,-89.06,3,5453.41,246.71%
50,1640999048000,15m,6,50,Close,1344.77,899.49,485.29,-88.37,4,11631.06,115.62%
48,1640999048000,15m,6,38,Close,1297.69,1025.38,648.48,-88.37,5,14496.96,89.51%
115,1609463048000,15m,18,50,Low,1236.05,1620.03,754.21,-132.73,4,14947.78,82.69%
52,1640999048000,15m,6,100,Close,1171.26,665.89,373.03,-89.06,3,7810.4,149.96%
124,1609463048000,1h,6,100,Close,1134.61,253.29,808.39,-159.73,2,6346.76,178.77%
90,1640999048000,1h,18,50,Close,1084.3,176.14,1057.88,-140.08,3,7919.83,136.91%
16,1672535048000,15m,18,38,Close,979.99,182.44,385.98,-45.49,4,6161.12,159.06%
8,1672535048000,15m,12,38,Close,919.51,182.41,273.19,-45.49,4,6161.12,149.24%
72,1640999048000,1h,6,38,Close,882.03,200.53,378.78,-140.08,3,5047.64,174.74%
18,1672535048000,15m,18,50,Close,709.57,155.84,385.98,-24.52,4,6161.12,115.17%
133,1609463048000,1h,12,100,Low,677.63,253.07,514.36,-195.05,3,12937.82,52.38%
139,1609463048000,1h,18,50,Low,660.59,373.25,1755.32,-195.05,4,17725.08,37.27%
0,1672535048000,15m,6,38,Close,649.15,182.28,160.39,-51.71,4,6161.12,105.36%
126,1609463048000,1h,6,200,Close,627.56,225.24,511.04,-140.08,2,6346.76,98.88%
62,1640999048000,15m,12,200,Close,605.01,404.78,402.43,-89.06,3,4000.48,151.23%
111,1609463048000,15m,12,200,Low,594.34,814.49,552.06,-132.73,3,4000.48,148.57%
88,1640999048000,1h,18,38,Close,589.31,200.38,744.74,-93.98,4,6500.31,90.66%
10,1672535048000,15m,12,50,Close,569.86,155.77,273.19,-24.52,4,6161.12,92.49%
121,1609463048000,1h,6,38,Low,508.1,438.46,1124.83,-195.05,3,9730.49,52.22%
82,1640999048000,1h,12,50,Close,499.89,175.85,718.33,-140.08,3,7919.83,63.12%
2,1672535048000,15m,6,50,Close,493.08,155.73,160.39,-24.52,4,6161.12,80.03%
74,1640999048000,1h,6,50,Close,452.95,175.82,378.78,-140.08,3,7919.83,57.19%
123,1609463048000,1h,6,50,Low,448.6,373.14,808.39,-195.05,3,9504.41,47.20%
125,1609463048000,1h,6,100,Low,417.41,252.93,808.39,-195.05,2,6346.76,65.77%
54,1640999048000,15m,6,200,Close,406.68,404.68,171.51,-89.06,2,6247.42,65.10%
40,1672535048000,1h,18,38,Close,279.94,42.92,535.63,-55.92,3,3851.15,72.69%
131,1609463048000,1h,12,50,Low,271.59,373.05,1219.71,-195.05,4,17725.08,15.32%
22,1672535048000,15m,18,200,Close,252.75,67.31,176.53,-51.71,3,4920.41,51.37%
19,1672535048000,15m,18,50,Low,240.16,155.61,171.38,-24.52,3,4915.6,48.86%
4,1672535048000,15m,6,100,Close,234.12,91.78,117.19,-51.71,3,4716.6,49.64%
41,1672535048000,1h,18,38,Low,227.24,42.9,535.63,-55.92,3,3851.15,59.01%
80,1640999048000,1h,12,38,Close,213.51,200.19,718.33,-93.98,3,5047.64,42.30%
20,1672535048000,15m,18,100,Close,208.87,90.04,343.85,-51.71,3,4716.6,44.28%
135,1609463048000,1h,12,200,Low,204.86,225.03,713.72,-140.08,2,6346.76,32.28%
11,1672535048000,15m,12,50,Low,191.34,155.58,114.98,-24.52,3,4915.6,38.92%
143,1609463048000,1h,18,200,Low,182.76,206.96,780.28,-140.08,3,4736.8,38.58%
12,1672535048000,15m,12,100,Close,179.15,91.76,230.52,-51.71,3,4716.6,37.98%
46,1672535048000,1h,18,200,Close,124.02,17.96,267.48,-29.88,2,3252.29,38.13%
47,1672535048000,1h,18,200,Low,124.02,17.96,267.48,-29.88,2,3252.29,38.13%
14,1672535048000,15m,12,200,Close,102.13,67.23,119.25,-51.71,3,4920.41,20.76%
9,1672535048000,15m,12,38,Low,98.55,182.0,198.74,-45.49,4,6914.5,14.25%
3,1672535048000,15m,6,50,Low,89.9,155.53,116.87,-24.52,2,2502.94,35.92%
105,1609463048000,15m,12,38,Low,52.35,1827.01,789.79,-132.73,4,6914.5,7.57%
1,1672535048000,15m,6,38,Low,47.99,181.98,116.87,-51.71,3,4914.36,9.77%
45,1672535048000,1h,18,100,Low,45.69,16.61,267.48,-55.92,2,3266.49,13.99%
44,1672535048000,1h,18,100,Close,45.69,16.61,267.48,-55.92,2,3266.49,13.99%
38,1672535048000,1h,12,200,Close,34.9,17.92,178.32,-29.88,2,3252.29,10.73%
39,1672535048000,1h,12,200,Low,34.9,17.92,178.32,-29.88,2,3252.29,10.73%
31,1672535048000,1h,6,200,Low,26.82,17.91,94.44,-29.88,1,1580.69,16.97%
30,1672535048000,1h,6,200,Close,26.82,17.91,94.44,-29.88,1,1580.69,16.97%
24,1672535048000,1h,6,38,Close,26.49,42.8,94.44,-55.92,2,2513.43,10.54%
17,1672535048000,15m,18,38,Low,19.7,181.96,198.74,-45.49,4,6914.5,2.85%
92,1640999048000,1h,18,100,Close,-10.5,115.11,727.52,-140.08,4,6874.4,-1.53%
32,1672535048000,1h,12,38,Close,-11.06,42.78,161.45,-55.92,3,4889.75,-2.26%
13,1672535048000,15m,12,100,Low,-12.63,91.66,113.33,-51.71,3,4915.6,-2.57%
5,1672535048000,15m,6,100,Low,-17.7,91.66,67.16,-51.71,2,2502.18,-7.07%
93,1640999048000,1h,18,100,Low,-21.91,115.11,727.52,-140.08,4,6874.4,-3.19%
25,1672535048000,1h,6,38,Low,-39.28,42.76,94.44,-55.92,2,2513.43,-15.63%
21,1672535048000,15m,18,100,Low,-39.55,89.92,169.99,-51.71,3,4915.6,-8.05%
37,1672535048000,1h,12,100,Low,-43.43,16.56,178.32,-55.92,2,3266.49,-13.30%
36,1672535048000,1h,12,100,Close,-43.43,16.56,178.32,-55.92,2,3266.49,-13.30%
23,1672535048000,15m,18,200,Low,-49.26,67.16,169.99,-51.71,3,4920.41,-10.01%
28,1672535048000,1h,6,100,Close,-50.27,16.56,94.44,-55.92,1,1602.7,-31.36%
29,1672535048000,1h,6,100,Low,-50.27,16.56,94.44,-55.92,1,1602.7,-31.36%
6,1672535048000,15m,6,200,Close,-54.98,67.15,67.16,-51.71,2,3095.3,-17.76%
33,1672535048000,1h,12,38,Low,-63.76,42.75,161.45,-55.92,2,2513.43,-25.37%
137,1609463048000,1h,18,38,Low,-88.47,438.16,1114.36,-195.05,4,17725.08,-4.99%
107,1609463048000,15m,12,50,Low,-91.46,1619.36,789.79,-132.73,3,10398.39,-8.80%
71,1640999048000,15m,18,200,Low,-100.68,404.43,406.52,-89.06,3,5453.41,-18.46%
117,1609463048000,15m,18,100,Low,-105.92,1231.53,754.21,-138.39,3,4494.35,-23.57%
15,1672535048000,15m,12,200,Low,-107.76,67.13,113.33,-51.71,3,4920.41,-21.90%
59,1640999048000,15m,12,50,Low,-117.81,898.76,620.77,-88.37,3,8799.35,-13.39%
26,1672535048000,1h,6,50,Close,-156.95,22.82,94.44,-55.92,2,3187.54,-49.24%
27,1672535048000,1h,6,50,Low,-173.23,22.81,94.44,-55.92,2,3187.54,-54.35%
42,1672535048000,1h,18,50,Close,-176.21,22.81,94.58,-55.92,2,3187.54,-55.28%
67,1640999048000,15m,18,50,Low,-182.64,898.73,553.52,-88.37,4,4689.95,-38.94%
43,1672535048000,1h,18,50,Low,-192.49,22.8,94.58,-55.92,2,3187.54,-60.39%
7,1672535048000,15m,6,200,Low,-195.12,67.08,67.16,-51.71,2,3168.14,-61.59%
34,1672535048000,1h,12,50,Close,-207.72,22.8,63.05,-55.92,2,3187.54,-65.16%
119,1609463048000,15m,18,200,Low,-213.7,814.08,616.99,-132.73,3,12947.54,-16.51%
78,1640999048000,1h,6,200,Close,-215.37,91.35,200.96,-140.08,2,2213.21,-97.31%
103,1609463048000,15m,6,200,Low,-222.21,814.08,284.79,-132.73,2,4297.06,-51.71%
35,1672535048000,1h,12,50,Low,-224.0,22.79,63.05,-55.92,2,3187.54,-70.27%
86,1640999048000,1h,12,200,Close,-226.34,91.35,262.64,-140.08,2,2213.21,-102.27%
87,1640999048000,1h,12,200,Low,-244.56,91.34,262.64,-140.08,2,2213.21,-110.50%
63,1640999048000,15m,12,200,Low,-253.12,404.35,402.43,-89.06,3,4000.48,-63.27%
94,1640999048000,1h,18,200,Close,-254.17,91.33,335.6,-140.08,3,4736.8,-53.66%
95,1640999048000,1h,18,200,Low,-279.19,91.32,335.6,-140.08,3,4736.8,-58.94%
84,1640999048000,1h,12,100,Close,-303.01,114.97,306.72,-140.08,3,5394.72,-56.17%
85,1640999048000,1h,12,100,Low,-314.43,114.96,306.72,-140.08,3,5394.72,-58.28%
65,1640999048000,15m,18,38,Low,-334.32,1024.57,527.65,-88.37,4,12104.32,-27.62%
55,1640999048000,15m,6,200,Low,-371.23,404.29,148.74,-89.06,2,6247.42,-59.42%
61,1640999048000,15m,12,100,Low,-412.16,665.1,354.61,-89.06,3,8799.35,-46.84%
76,1640999048000,1h,6,100,Close,-422.29,114.91,164.8,-140.08,2,6495.22,-65.02%
77,1640999048000,1h,6,100,Low,-433.7,114.9,164.8,-140.08,2,6495.22,-66.77%
79,1640999048000,1h,6,200,Low,-467.64,91.23,144.12,-140.08,2,2213.21,-211.30%
57,1640999048000,15m,12,38,Low,-475.97,1024.5,376.81,-88.37,4,6914.5,-68.84%
73,1640999048000,1h,6,38,Low,-566.78,199.8,352.82,-140.08,3,5047.64,-112.29%
109,1609463048000,15m,12,100,Low,-617.81,1233.01,530.97,-138.39,3,4494.35,-137.46%
69,1640999048000,15m,18,100,Low,-637.06,663.25,511.4,-89.06,3,8799.35,-72.40%
127,1609463048000,1h,6,200,Low,-659.63,224.6,356.86,-140.08,2,6346.76,-103.93%
75,1640999048000,1h,6,50,Low,-846.28,175.17,288.1,-140.08,2,5967.21,-141.82%
89,1640999048000,1h,18,38,Low,-944.15,199.61,535.63,-93.98,4,6500.31,-145.25%
83,1640999048000,1h,12,50,Low,-1063.38,175.06,549.2,-140.08,3,3602.18,-295.20%
91,1640999048000,1h,18,50,Low,-1129.57,175.03,445.11,-140.08,3,4631.28,-243.90%
53,1640999048000,15m,6,100,Low,-1166.78,664.72,178.43,-89.06,3,9102.82,-128.18%
81,1640999048000,1h,12,38,Low,-1201.92,199.49,283.85,-93.98,3,5047.64,-238.11%
51,1640999048000,15m,6,50,Low,-1300.37,898.17,337.65,-88.37,3,3360.73,-386.93%
101,1609463048000,15m,6,100,Low,-1519.24,1232.56,307.73,-138.39,3,9102.82,-166.90%
49,1640999048000,15m,6,38,Low,-1590.68,1023.94,202.21,-88.37,3,9928.2,-160.22%
99,1609463048000,15m,6,50,Low,-1994.37,1618.41,394.89,-132.73,3,3360.73,-593.43%
97,1609463048000,15m,6,38,Low,-2996.93,1825.48,394.89,-132.73,3,11450.03,-261.74%
