,symbol,interval,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
124,avaxusdt,15m,4.0,12,Close,40.94,2.84,43.29,-20.57,8,133.78,305.99%,26.47%,14.41,4.74
123,avaxusdt,15m,4.0,9,Close,14.96,2.83,32.95,-20.57,7,118.12,126.68%,28.57%,5.29,-5.99
68,apeusdt,15m,3.0,9,Close,12.8,0.44,5.71,-0.9,8,33.51,381.90%,35.90%,28.9,-1.15
109,avaxusdt,15m,1.0,12,Close,12.34,2.83,10.07,-0.77,3,252.94,48.80%,21.31%,4.37,-4.05
63,apeusdt,15m,2.0,9,Close,12.13,0.44,5.71,-0.71,7,29.36,413.19%,34.88%,27.42,-0.86
73,apeusdt,15m,4.0,9,Close,11.67,0.44,5.71,-1.63,8,33.51,348.32%,46.67%,26.39,-1.69
53,apeusdt,15m,0.5,9,Close,10.69,0.44,5.71,-0.11,3,11.7,913.74%,29.82%,24.19,-0.32
101,avaxusdt,15m,0.5,5,Close,10.55,2.83,4.47,-0.94,2,167.78,62.86%,22.22%,3.73,-1.18
104,avaxusdt,15m,0.5,12,Close,10.46,2.83,10.07,-0.94,3,252.94,41.37%,22.06%,3.7,-2.98
58,apeusdt,15m,1.0,9,Close,10.32,0.44,5.71,-0.12,3,13.07,789.74%,26.92%,23.37,-0.35
62,apeusdt,15m,2.0,7,Close,9.93,0.44,4.44,-0.71,5,20.99,472.94%,39.13%,22.49,-0.86
67,apeusdt,15m,3.0,7,Close,9.8,0.44,4.44,-0.9,5,20.99,466.69%,43.18%,22.2,-1.15
106,avaxusdt,15m,1.0,5,Close,9.75,2.83,4.47,-0.77,3,40.54,240.61%,23.08%,3.45,-1.71
66,apeusdt,15m,3.0,5,Close,9.08,0.44,3.17,-0.9,4,18.42,492.96%,56.00%,20.6,-0.04
71,apeusdt,15m,4.0,5,Close,8.82,0.44,3.17,-1.63,5,22.4,393.92%,70.73%,20.02,-0.49
52,apeusdt,15m,0.5,7,Close,8.52,0.44,4.44,-0.11,3,11.7,728.20%,32.20%,19.33,-0.32
24,nearusdt,15m,4.0,12,Close,8.36,0.42,5.8,-0.91,4,43.05,194.26%,27.50%,20.13,-1.25
72,apeusdt,15m,4.0,7,Close,8.3,0.44,4.44,-1.63,5,22.4,370.31%,54.29%,18.83,-1.69
57,apeusdt,15m,1.0,7,Close,8.23,0.44,4.44,-0.12,3,13.07,629.69%,29.63%,18.68,-0.35
61,apeusdt,15m,2.0,5,Close,7.9,0.44,3.17,-0.71,4,18.42,428.68%,43.14%,17.94,-0.86
69,apeusdt,15m,3.0,12,Close,7.85,0.44,5.11,-1.51,8,33.51,234.26%,29.73%,17.82,-1.15
100,avaxusdt,15m,0.5,3,Close,7.61,2.82,2.68,-0.94,2,167.78,45.34%,23.29%,2.69,-1.18
108,avaxusdt,15m,1.0,9,Close,7.5,2.82,7.55,-0.77,3,252.94,29.67%,21.31%,2.66,-4.05
65,apeusdt,15m,3.0,3,Close,7.36,0.44,1.9,-0.9,4,18.42,399.62%,66.67%,16.73,0.52
64,apeusdt,15m,2.0,12,Close,7.33,0.44,5.11,-0.83,7,29.36,249.75%,28.57%,16.66,-0.86
70,apeusdt,15m,4.0,3,Close,7.11,0.44,1.9,-1.63,5,22.4,317.27%,83.33%,16.15,0.52
103,avaxusdt,15m,0.5,9,Close,7.1,2.82,7.55,-0.94,3,252.94,28.06%,22.06%,2.51,-2.98
105,avaxusdt,15m,1.0,3,Close,6.9,2.82,2.68,-0.77,3,47.62,144.85%,26.87%,2.44,-1.71
51,apeusdt,15m,0.5,5,Close,6.77,0.44,3.17,-0.11,2,27.69,244.61%,33.87%,15.4,-0.32
54,apeusdt,15m,0.5,12,Close,6.66,0.44,5.11,-0.25,3,11.7,569.02%,28.07%,15.14,-0.32
56,apeusdt,15m,1.0,5,Close,6.61,0.44,3.17,-0.12,3,13.07,505.56%,31.03%,15.03,-0.35
107,avaxusdt,15m,1.0,7,Close,6.54,2.82,5.88,-0.77,3,252.94,25.84%,22.58%,2.31,-4.05
59,apeusdt,15m,1.0,12,Close,6.25,0.44,5.11,-0.29,3,13.07,478.35%,25.00%,14.22,-0.35
102,avaxusdt,15m,0.5,7,Close,6.12,2.82,5.88,-0.94,3,252.94,24.18%,21.74%,2.17,-2.98
