,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
135,roseusdt,0.999,0.99,High,1528.09,200.74,87.41,-77.52,21,4200.0,363.83%,58.19%,7.61,3.41
158,roseusdt,1.011,0.99,Close,1404.39,200.8,94.84,-106.88,26,5200.0,270.07%,65.02%,6.99,-0.68
150,roseusdt,1.007,0.99,Close,1395.24,200.8,94.84,-106.88,26,5200.0,268.32%,63.67%,6.95,-0.68
143,roseusdt,1.003,0.99,High,1391.17,200.8,87.41,-90.65,21,4200.0,331.23%,61.96%,6.93,1.0
151,roseusdt,1.007,0.99,High,1377.09,200.81,94.84,-103.77,26,5200.0,264.82%,63.67%,6.86,-7.07
142,roseusdt,1.003,0.99,Close,1356.94,200.82,87.41,-91.24,21,4200.0,323.08%,62.32%,6.76,-0.68
199,ftmusdt,0.999,0.99,High,1356.56,184.43,137.98,-98.47,35,7000.0,193.79%,56.50%,7.36,-62.92
159,roseusdt,1.011,0.99,High,1301.03,200.85,94.84,-116.89,26,5200.0,250.20%,65.02%,6.48,-19.29
134,roseusdt,0.999,0.99,Close,1272.08,200.86,87.41,-91.24,21,4200.0,302.88%,60.28%,6.33,-0.68
71,injusdt,0.999,0.99,High,1249.6,179.89,87.92,-88.02,22,4400.0,284.00%,61.27%,6.95,-0.05
207,ftmusdt,1.003,0.99,High,1234.74,184.49,137.98,-111.67,35,7000.0,176.39%,59.66%,6.69,-85.8
231,adausdt,0.999,0.99,High,1215.5,263.06,206.77,-61.47,24,4800.0,253.23%,54.89%,4.62,-30.05
263,avaxusdt,0.999,0.99,High,1215.43,207.89,118.97,-74.74,39,7800.0,155.82%,54.83%,5.85,24.84
69,injusdt,0.999,0.995,High,1202.32,98.35,100.54,-45.99,17,3400.0,353.62%,62.33%,12.22,7.32
286,avaxusdt,1.011,0.99,Close,1190.64,207.9,118.97,-87.81,47,9400.0,126.66%,63.71%,5.73,24.84
271,avaxusdt,1.003,0.99,High,1167.53,207.91,118.97,-83.05,39,7800.0,149.68%,58.63%,5.62,24.84
287,avaxusdt,1.011,0.99,High,1156.77,207.92,118.97,-87.81,47,9400.0,123.06%,62.87%,5.56,24.84
197,ftmusdt,0.999,0.995,High,1145.89,102.58,146.33,-51.79,17,3400.0,337.03%,58.15%,11.17,-32.4
279,avaxusdt,1.007,0.99,High,1121.11,207.94,118.97,-91.36,47,9400.0,119.27%,61.16%,5.39,24.84
133,roseusdt,0.999,0.995,High,1112.47,100.39,73.82,-49.65,13,2600.0,427.87%,59.71%,11.08,4.21
77,injusdt,1.003,0.995,High,1105.64,98.4,100.54,-49.38,17,3400.0,325.19%,65.40%,11.24,7.32
206,ftmusdt,1.003,0.99,Close,1103.75,184.56,137.98,-103.69,35,7000.0,157.68%,60.50%,5.98,-103.92
85,injusdt,1.007,0.995,High,1102.04,98.4,100.54,-63.05,20,4000.0,275.51%,67.48%,11.2,7.32
92,injusdt,1.011,0.995,Close,1099.12,98.4,100.54,-48.05,20,4000.0,274.78%,69.31%,11.17,7.32
103,imxusdt,0.999,0.99,High,1092.86,140.58,150.61,-62.8,29,5800.0,188.42%,55.22%,7.77,-4.3
84,injusdt,1.007,0.995,Close,1092.19,98.4,100.54,-48.05,20,4000.0,273.05%,67.48%,11.1,7.32
270,avaxusdt,1.003,0.99,Close,1088.91,207.95,118.97,-87.81,39,7800.0,139.60%,59.44%,5.24,24.84
93,injusdt,1.011,0.995,High,1081.83,98.41,100.54,-56.15,20,4000.0,270.46%,69.31%,10.99,7.32
262,avaxusdt,0.999,0.99,Close,1074.58,207.96,118.97,-87.81,39,7800.0,137.77%,58.69%,5.17,24.84
198,ftmusdt,0.999,0.99,Close,1074.38,184.57,137.98,-103.69,35,7000.0,153.48%,60.98%,5.82,-103.92
205,ftmusdt,1.003,0.995,High,1068.84,102.61,146.33,-60.0,17,3400.0,314.36%,59.44%,10.42,-48.64
215,ftmusdt,1.007,0.99,High,1055.0,184.58,137.98,-124.88,35,7000.0,150.71%,60.17%,5.72,-108.68
247,adausdt,1.007,0.99,High,1050.31,263.14,278.58,-88.46,26,5200.0,201.98%,61.67%,3.99,-51.79
68,injusdt,0.999,0.995,Close,1046.98,98.43,100.54,-33.26,17,3400.0,307.93%,65.58%,10.64,7.32
140,roseusdt,1.003,0.995,Close,1034.92,100.43,73.82,-60.74,13,2600.0,398.05%,65.00%,10.3,1.5
245,adausdt,1.007,0.995,High,1034.86,131.22,255.51,-50.71,21,4200.0,246.40%,63.50%,7.89,-24.14
278,avaxusdt,1.007,0.99,Close,1033.12,207.98,118.97,-87.81,47,9400.0,109.91%,61.98%,4.97,24.84
79,injusdt,1.003,0.99,High,1031.96,179.99,87.92,-93.98,22,4400.0,234.54%,62.19%,5.73,-0.85
87,injusdt,1.007,0.99,High,1031.81,179.99,87.92,-99.93,22,4400.0,234.50%,64.36%,5.73,-3.86
39,crvusdt,0.999,0.99,High,1030.61,161.2,97.83,-66.37,22,4400.0,234.23%,54.75%,6.39,-7.25
132,roseusdt,0.999,0.995,Close,1024.95,100.44,73.82,-60.74,13,2600.0,394.21%,63.11%,10.2,1.5
148,roseusdt,1.007,0.995,Close,1022.39,100.44,73.82,-73.39,15,3000.0,340.80%,66.15%,10.18,1.5
229,adausdt,0.999,0.995,High,1016.66,131.23,178.03,-36.61,20,4000.0,254.16%,52.75%,7.75,-9.25
196,ftmusdt,0.999,0.995,Close,1011.96,102.64,146.33,-55.04,17,3400.0,297.64%,62.50%,9.86,-66.36
156,roseusdt,1.011,0.995,Close,1011.58,100.44,73.82,-73.39,15,3000.0,337.19%,68.04%,10.07,1.5
141,roseusdt,1.003,0.995,High,1009.82,100.44,73.82,-60.26,13,2600.0,388.39%,63.50%,10.05,2.61
76,injusdt,1.003,0.995,Close,1009.68,98.45,100.54,-33.26,17,3400.0,296.96%,65.40%,10.26,7.32
204,ftmusdt,1.003,0.995,Close,1004.0,102.65,146.33,-55.04,17,3400.0,295.30%,62.22%,9.78,-66.36
253,adausdt,1.011,0.995,High,999.75,131.23,255.51,-50.71,21,4200.0,238.04%,64.97%,7.62,-30.57
246,adausdt,1.007,0.99,Close,991.17,263.17,278.58,-92.16,26,5200.0,190.61%,62.02%,3.77,-51.93
149,roseusdt,1.007,0.995,High,990.98,100.45,73.82,-70.87,15,3000.0,330.33%,65.64%,9.86,1.0
55,crvusdt,1.007,0.99,High,985.07,161.23,97.83,-71.64,24,4800.0,205.22%,58.49%,6.11,-1.72
213,ftmusdt,1.007,0.995,High,981.13,102.66,146.33,-68.22,17,3400.0,288.57%,60.89%,9.56,-64.87
